Year;Metabolite;Site ID;Country;City;Wednesday;Thursday;Friday;Saturday;Sunday;Monday;Tuesday;Weekday mean;Weekend mean;Daily mean;Latitude;Longitude;Location;City;Country: City
2024;cocaine;CL001;CL;Concepci¢n;1520.96;1437.93;2689.69;2104.54;2042.78;926.81;1240.14;1399.68;1940.95;1708.98;-3.681.907;-7.304.886;Planta de Tratamiento de Aguas Residuales Biob°o;Concepci¢n;CL: Concepci¢n
2024;cocaine;CL002;CL;Lebu;3044.25;2960.77;4596.31;4538.97;2135.87;2010.15;2484.43;2829.82;3320.32;3110.11;-3.760.745;-7.365.156;Planta de Tratamiento de Aguas Residuales Lebu;Lebu;CL: Lebu
2024;cocaine;CL003;CL;Los Angeles;2659.02;3327.62;1518.1;3268.87;1659.02;;2636.87;2987.78;2148.66;2628.16;-3.746.321;-7.236.468;Planta de Tratamiento de Aguas Residuales Los Angeles;Los Angeles;CL: Los Angeles
2024;cocaine;CY001;CY;Agia Napa;34.71;32.48;41.59;72.12;102.45;22.56;19.24;28.81;59.68;46.45;3.499.075.444.704.170;339.999.814.169.353;Sewage treatment plant of Agia Napa-Paralimni;Agia Napa;CY: Agia Napa
2024;cocaine;CY002;CY;Larnaca;48.04;32.54;35.06;17.36;73.08;29.57;35.88;38.82;38.77;38.79;34.915.164.353.041.000;336.361.988.334.665;Sewage Bioard of Larnaca;Larnaca;CY: Larnaca
2024;cocaine;CY003;CY;Limassol;82.56;48.91;170.74;85.37;142.18;85.08;66.47;65.98;120.84;97.33;34.69;33.02;Sewerage Board of Limassol-Amathus (SBLA);Limassol;CY: Limassol
2024;cocaine;CY005;CY;Nicosia (2);46.28;24. Jul;39.54;65.56;61.07;23.56;44.7;38.35;47.43;43.54;35.17;33.4;"Sewage treatment plant of Pano Deftera (Anthoupoli)-Sewerage Board of Nicosia; Sewage treatment plant of Vathia Gonia-Sewerage Board of Nicosia";Nicosia (2);CY: Nicosia (2)
2024;cocaine;CY007;CY;Paphos;15.34;22.95;80.56;47.36;79.35;14.77;27.93;22. Jul;55.51;41.18;34.775.853.627.551.800;324.215.949.998.929;Sewage Borad of Pafos;Paphos;CY: Paphos
2024;cocaine;CZ001;CZ;Brno;125.31;138;135.97;265.08;255.65;270.22;163.49;142.27;231.73;193.39;4.919.506;16.606.837;Waterworks and sewage of city Brno;Brno;CZ: Brno
2024;cocaine;CZ002;CZ;?eskÇ Bud?jovice;170.16;279.22;179.5;188.66;298.09;283.64;155.65;201.68;237.47;222.13;48.96;14.46;UCOV CB;?eskÇ Bud?jovice;CZ: ?eskÇ Bud?jovice
2024;cocaine;CZ003;CZ;Karlovy Vary;84.43;87.61;105.32;129.95;139.63;112.88;62.6;78.21;121.95;103.2;5.023.204;1.287.099;?OV Karloy Vary;Karlovy Vary;CZ: Karlovy Vary
2024;cocaine;CZ004;CZ;Ostrava;87.97;86.72;103.08;181.02;185.18;108.93;81.68;85.46;144.55;119.23;49.833.864;18.281.034;È?OV Ostrava;Ostrava;CZ: Ostrava
2024;cocaine;CZ005;CZ;Plze?;155.68;154.77;229.97;279.97;271.35;169.92;139.03;149.82;237.8;200.1;4.973.945;1.337.329;?OV Plze?;Plze?;CZ: Plze?
2024;cocaine;CZ006;CZ;Prague (2);385.12;452.78;454.74;825.39;580.96;428.38;384.68;407.53;572.37;501.72;5.011.584.348;1.439.671.894;È?OV Praha;Prague (2);CZ: Prague (2)
2024;cocaine;CZ009;CZ;Èst° nad Labem;58.24;78.49;94.23;101.97;97.67;63.49;58.55;65.09;89.34;78.95;50.667.583;1.410.462.173;?OV Èst° - Ne?t?mice;Èst° nad Labem;CZ: Èst° nad Labem
2024;cocaine;DE008;DE;Chemnitz;43.23;51.46;78.6;67.7;77;51.16;33.25;42.64;68.61;57.48;50.827.845;1.292.137;Chemnitz;Chemnitz;DE: Chemnitz
2024;cocaine;DE009;DE;Dortmund;408.05;541.82;480.56;574.62;525.97;406.17;428.16;459.34;496.83;480.76;51.52;Jul 46;Deusen;Dortmund;DE: Dortmund
2024;cocaine;DE010;DE;Dresden;116.28;96.1;103.04;108.96;120.14;89.55;79.34;97.24;105.42;101.92;5.105.089;1.373.832;Dresden-Kaditz;Dresden;DE: Dresden
2024;cocaine;DE012;DE;Erfurt;103.43;95.11;101.15;153.83;175.85;101.3;99.7;99.42;133.03;118.62;50.984.768;1.102.988;Erfurt;Erfurt;DE: Erfurt
2024;cocaine;DE018;DE;Hamburg N;428.98;327.26;712.69;724.77;790.45;570.68;509.45;421.9;699.65;580.61;53.551.085;9.993.682;Nord;Hamburg N;DE: Hamburg N
2024;cocaine;DE020;DE;Hannover (2);312.99;346.64;426.13;510.26;527;435.05;392.5;350.71;474.61;421.51;52.375.892;973.201;"Herrenhausen; Gummerwald";Hannover (2);DE: Hannover (2)
2024;cocaine;DE023;DE;Magdeburg;174.74;186.1;211.9;298.6;338.14;196.22;179.12;179.99;261.21;226.4;52.120.533;11.627.624;Magdeburg;Magdeburg;DE: Magdeburg
2024;cocaine;DE026;DE;Munich G;511.37;402.66;405.42;458.64;440.24;305.7;329.45;414.49;402.5;407.64;48.14;Nov 58;Gut Grosslappen;Munich G;DE: Munich G
