Year,Country,City,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
2016,FI,Rovaniemi,0.97,0.94,0.94,0.93,0.91,0.93,5.11,2.34,0.93,1.53
2016,FI,Savonlinna,0,0,0,0,0,0,0,0,0,0
2016,FI,Tampere,3.29,6.4,7.83,8.64,8.33,6.65,3.94,4.54,7.86,6.44
2016,FI,Turku,01.04,01.08,01.04,2.91,4,1.81,0.75,0.96,2.44,1.8
2016,FI,Vaasa,0,0,0,0,0,0,0,0,0,0
2016,FR,Bordeaux I,274.4,216.39,303.18,197.04,399.14,180.61,151.44,214.08,269.99,246.03
2016,FR,Paris Seine Centre,139.55,124.06,85.72,188.1,248.87,252.9,147.98,137.19,193.9,169.6
2016,GB,Bristol,117.02,288.9,349.52,565.38,713.82,367.2,331.05,245.65,498.98,390.41
2016,GB,London,637.52,644.05,732.16,1145.32,,1120.44,1090.04,790.53,999.31,894.92
2016,GR,Athens,21.49,25.47,24.61,36.15,45.65,30.71,28.81,25.25,34.28,30.41
2016,HR,Zagreb,121.97,112.53,162.32,262.28,187.81,149,140.3,124.93,190.35,162.32
2016,IS,Reykjavik Klettagarðar,87.43,91.29,142.52,120.73,138.06,76.17,48.06,75.6,119.37,100.61
2016,IT,Milan,314.74,312.99,263.86,344.35,337.27,308.62,264.3,297.34,313.53,306.59
2016,NL,Eindhoven,347.49,401.78,426.65,606.2,695.48,534.84,472.66,407.31,565.79,497.87
2016,NL,Utrecht,305.72,273.91,281.14,412.44,363.31,296.82,239.19,272.94,338.43,310.36
2016,PT,Almada,69.75,76.18,57.91,85.3,67.9,94.29,25.44,57.12,76.35,68.11
2016,PT,Lisbon,218.05,264.75,241.17,306.44,282.32,268.19,224.78,235.86,274.53,257.96
2016,PT,Porto,60.59,78.47,90.95,114.94,113.6,89.32,87.39,75.48,102.2,90.75
2016,SE,Stockholm (2),101.39,113.22,113.9,202.39,236.89,136.24,104.99,106.53,172.35,144.14
2016,SK,Piestany,14.41,12.71,11.8,35.02,31.08,11.2,24,17.04,22.28,20.03
2017,AT,Innsbruck,203.04,191.67,222.07,282.03,278.42,217.47,164.75,186.49,250,222.78
2017,BE,Antwerp Zuid,708.02,666.11,873.98,936.86,872.59,854.6,848.33,740.82,884.51,822.93
2017,BE,Boom,321.86,419.76,574.03,477.69,470.24,,405.76,382.46,507.32,426.8
2017,BE,Brussels,322.25,310.53,318.92,359.61,439.06,488.64,377.63,336.8,401.56,373.81
2017,BE,Koksijde,51.09,42.59,59.99,98.83,110.55,90.16,77.98,57.22,89.88,75.89
2017,BE,Merchtem,199.19,276.24,253.37,257.75,222.68,229.56,204.65,226.69,240.84,234.78
2017,BE,Oostende,120.09,116.1,133.8,151.85,180.08,173.31,140.74,125.64,159.76,145.14
2017,BE,Ruisbroek (Puurs),178.65,272.27,298.06,247.73,260.68,234.42,226.96,225.96,260.22,245.54
2017,CH,Basel,364.94,443.37,,637.56,968.49,490.46,472.36,426.89,698.84,562.86
2017,CH,Berne,417.94,324.55,556.96,713.02,696.79,490.73,494.93,412.47,614.37,527.84
2017,CH,Geneva,566.85,686.84,834.05,1171.17,989.52,670.07,645.37,633.02,916.2,794.84
2017,CH,St. Gallen Hofen,575.17,703.72,866.97,1180.98,935.47,784.03,705.52,661.47,941.86,821.69
2017,CH,Zurich,640.01,720.91,837.67,1318.64,1388.86,888.99,745.85,702.26,1108.54,934.42
2017,CZ,Brno,13.34,18.39,21.77,55.86,33.06,14.08,12.96,14.9,31.19,24.21
2017,CZ,České Budějovice,9.85,08.04,8.83,10.04,19.1,18.38,13.27,10.39,14.09,12.5
2017,DE,Berlin (4),258.41,268.1,249.69,246.47,389.14,301.84,320.58,282.36,296.78,290.6
2017,DE,Chemnitz,18.05,26.63,17.47,26.16,22.76,14.85,16.09,20.26,20.31,20.29
2017,DE,Dortmund,354.22,402.17,447.1,520.19,496.91,404.5,375.59,377.33,467.18,428.67
