,Year,Metabolite,Site ID,Country,City,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
2211,2020,MDMA,DE008,DE,Chemnitz,8.45,12.02,10.74,13.21,15.0,12.3,9.94,10.13,12.81,11.66
2212,2020,MDMA,DE009,DE,Dortmund,19.32,18.68,13.82,13.71,24.96,27.97,25.84,21.28,20.12,20.61
2214,2020,MDMA,DE011,DE,Dülmen,4.5,5.6,6.3,9.94,14.98,7.24,7.04,5.71,9.62,7.94
2215,2020,MDMA,DE012,DE,Erfurt,10.37,9.28,,8.96,20.22,16.46,13.04,10.9,15.21,13.06
2216,2020,MDMA,DE018,DE,Hamburg N,15.43,14.98,,,30.48,,16.54,15.65,30.48,19.73
2218,2020,MDMA,DE026,DE,Munich G,19.87,,,15.72,14.92,12.13,9.29,14.58,14.26,14.38
2219,2020,MDMA,DE028,DE,Nuremberg,1.23,1.23,3.18,7.1,12.07,6.95,7.72,3.4,7.33,5.64
2220,2020,MDMA,DE030,DE,Saarbrücken (2),19.49,17.59,19.18,21.73,26.54,20.68,19.28,18.78,22.03,20.64
2300,2020,amphetamine,DE008,DE,Chemnitz,19.62,24.04,19.1,18.73,19.61,18.22,18.77,20.81,18.92,19.73
2301,2020,amphetamine,DE009,DE,Dortmund,144.57,141.02,135.36,126.06,183.44,133.71,137.74,141.11,144.64,143.13
2303,2020,amphetamine,DE011,DE,Dülmen,146.24,131.89,134.04,146.04,142.31,142.78,150.76,142.96,141.29,142.01
2304,2020,amphetamine,DE012,DE,Erfurt,41.82,40.11,,37.18,53.29,44.78,48.71,43.55,45.08,44.31
2305,2020,amphetamine,DE018,DE,Hamburg N,54.54,51.65,,,45.04,,41.59,49.26,45.04,50.98
2307,2020,amphetamine,DE026,DE,Munich G,14.85,,,14.44,10.09,18.5,12.84,13.85,14.34,14.14
2308,2020,amphetamine,DE028,DE,Nuremberg,25.06,28.13,33.31,39.19,41.67,33.53,31.38,28.19,36.93,33.18
2309,2020,amphetamine,DE030,DE,Saarbrücken (2),323.47,279.49,287.66,294.64,308.47,238.66,285.85,296.27,282.36,288.32
2424,2020,cocaine,DE008,DE,Chemnitz,20.99,18.99,22.2,33.38,39.45,37.58,18.77,19.58,33.15,27.34
2425,2020,cocaine,DE009,DE,Dortmund,302.36,252.51,242.48,247.62,369.85,351.73,368.69,307.85,302.92,305.04
2427,2020,cocaine,DE011,DE,Dülmen,89.73,114.0,139.57,178.04,175.72,132.8,113.7,105.81,156.53,134.79
2428,2020,cocaine,DE012,DE,Erfurt,54.33,56.05,,78.39,107.15,74.09,56.14,55.51,86.54,71.02
2429,2020,cocaine,DE018,DE,Hamburg N,409.06,410.89,,,481.83,,363.04,394.33,481.83,471.34
2431,2020,cocaine,DE026,DE,Munich G,246.4,,,222.14,157.03,145.93,185.13,215.77,175.03,191.33
2432,2020,cocaine,DE028,DE,Nuremberg,28.01,34.54,37.72,48.99,51.38,36.17,30.89,31.15,43.56,38.24
2433,2020,cocaine,DE030,DE,Saarbrücken (2),156.54,150.6,183.02,203.65,210.11,132.84,135.79,147.64,182.4,167.51
2513,2020,methamphetamine,DE008,DE,Chemnitz,351.61,339.16,337.78,367.91,335.94,313.61,256.68,315.82,338.81,328.95
2514,2020,methamphetamine,DE009,DE,Dortmund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2516,2020,methamphetamine,DE011,DE,Dülmen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2517,2020,methamphetamine,DE012,DE,Erfurt,440.02,429.13,,382.98,478.47,442.14,438.96,436.04,434.53,435.28
2518,2020,methamphetamine,DE018,DE,Hamburg N,3.58,6.14,,,6.49,,2.64,4.12,6.49,5.68
2520,2020,methamphetamine,DE026,DE,Munich G,6.69,,,10.19,7.78,12.74,9.09,7.89,10.24,9.3
2521,2020,methamphetamine,DE028,DE,Nuremberg,102.71,114.73,123.19,140.36,143.48,120.24,120.2,112.55,131.82,123.56
2522,2020,methamphetamine,DE030,DE,Saarbrücken (2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2604,2019,MDMA,DE008,DE,Chemnitz,1.79,1.78,3.36,7.96,14.12,8.08,4.63,2.73,8.38,5.96
2605,2019,MDMA,DE009,DE,Dortmund,7.15,14.38,9.43,31.56,16.84,16.7,11.3,10.94,18.63,15.34
2607,2019,MDMA,DE011,DE,Dülmen,1.46,1.48,3.03,27.09,20.39,8.64,3.06,2.0,14.79,9.31
2608,2019,MDMA,DE012,DE,Erfurt,5.76,4.0,4.15,11.3,22.57,18.35,8.14,5.97,14.09,10.61
2609,2019,MDMA,DE026,DE,Munich G,4.62,5.25,15.42,26.42,37.46,22.4,8.02,5.96,25.43,17.09
2610,2019,MDMA,DE030,DE,Saarbrücken (2),7.67,7.17,8.55,19.5,30.87,26.59,14.88,9.91,21.38,16.46
2673,2019,amphetamine,DE008,DE,Chemnitz,11.1,9.96,11.07,13.06,12.55,13.61,12.74,11.27,12.57,12.01
2674,2019,amphetamine,DE009,DE,Dortmund,173.61,190.69,226.03,174.57,187.38,177.94,191.62,185.31,191.48,188.83
2676,2019,amphetamine,DE011,DE,Dülmen,144.19,139.46,191.69,215.63,165.4,180.31,150.79,144.82,188.26,169.64
2677,2019,amphetamine,DE012,DE,Erfurt,40.31,38.27,45.08,44.84,57.71,51.39,42.52,40.37,49.75,45.73
2678,2019,amphetamine,DE026,DE,Munich G,21.54,21.28,24.77,29.82,33.76,25.79,26.32,23.05,28.53,26.18
2679,2019,amphetamine,DE030,DE,Saarbrücken (2),331.31,325.13,344.31,329.4,332.94,382.38,341.37,332.6,347.26,340.98
2788,2019,cocaine,DE008,DE,Chemnitz,5.73,11.38,14.43,25.79,20.08,12.34,3.09,6.73,18.16,13.26
2789,2019,cocaine,DE009,DE,Dortmund,308.68,356.67,384.64,494.73,496.03,303.88,278.84,314.73,419.82,374.78
2791,2019,cocaine,DE011,DE,Dülmen,79.55,63.82,121.08,199.7,176.11,160.27,106.35,83.24,164.29,129.55
2792,2019,cocaine,DE012,DE,Erfurt,39.38,36.93,43.57,76.79,75.01,51.97,40.53,38.95,61.83,52.03
2793,2019,cocaine,DE026,DE,Munich G,173.06,195.46,236.58,302.07,332.68,229.75,180.26,182.93,275.27,235.7
2794,2019,cocaine,DE030,DE,Saarbrücken (2),149.3,176.66,171.07,179.79,202.25,189.09,137.02,154.33,185.55,172.17
2859,2019,methamphetamine,DE008,DE,Chemnitz,276.52,258.61,285.26,291.06,282.13,277.79,260.61,265.24,284.06,276.0
2860,2019,methamphetamine,DE009,DE,Dortmund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2862,2019,methamphetamine,DE011,DE,Dülmen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2863,2019,methamphetamine,DE012,DE,Erfurt,226.64,241.78,254.04,284.38,279.63,249.81,225.99,231.47,266.97,251.75
2864,2019,methamphetamine,DE026,DE,Munich G,6.92,6.83,7.33,8.97,9.61,9.12,7.27,7.01,8.76,8.01
2865,2019,methamphetamine,DE030,DE,Saarbrücken (2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2922,2018,MDMA,DE008,DE,Chemnitz,6.5,16.55,13.33,12.86,18.42,14.23,7.21,10.08,14.71,12.73
2923,2018,MDMA,DE009,DE,Dortmund,18.21,15.08,13.53,21.1,36.84,26.92,16.92,16.73,24.6,21.23
2925,2018,MDMA,DE011,DE,Dülmen,7.05,5.89,12.46,17.01,26.85,12.17,14.2,9.04,17.12,13.66
2926,2018,MDMA,DE012,DE,Erfurt,11.88,9.12,16.35,22.52,37.81,23.26,12.44,11.15,24.99,19.06
2927,2018,MDMA,DE026,DE,Munich G,10.73,10.03,14.98,32.43,47.05,21.01,11.26,10.67,28.87,21.07
2928,2018,MDMA,DE030,DE,Saarbrücken (2),21.33,35.58,24.15,41.66,63.11,44.11,23.78,26.9,43.26,36.25
2997,2018,amphetamine,DE008,DE,Chemnitz,18.56,19.53,27.28,18.53,22.03,15.81,14.42,17.5,20.91,19.45
2998,2018,amphetamine,DE009,DE,Dortmund,110.41,143.21,135.84,144.78,154.71,140.26,137.85,130.49,143.9,138.15
3000,2018,amphetamine,DE011,DE,Dülmen,101.49,85.5,109.06,120.73,145.82,104.54,128.01,105.0,120.04,113.59
3001,2018,amphetamine,DE012,DE,Erfurt,48.53,31.79,36.11,41.94,40.89,47.86,31.22,37.18,41.7,39.76
3002,2018,amphetamine,DE026,DE,Munich G,2.88,4.74,2.54,14.35,12.69,3.41,3.48,3.7,8.25,6.3
3003,2018,amphetamine,DE030,DE,Saarbrücken (2),373.64,417.07,423.98,446.1,450.59,406.7,333.4,374.7,431.84,407.35
3100,2018,cocaine,DE008,DE,Chemnitz,10.52,11.39,19.4,13.23,15.53,7.9,6.45,9.45,14.02,12.06
3101,2018,cocaine,DE009,DE,Dortmund,327.41,351.55,391.98,435.67,488.33,350.5,308.15,329.04,416.62,379.08
3103,2018,cocaine,DE011,DE,Dülmen,46.99,58.36,87.96,157.86,254.46,113.98,98.67,68.01,153.57,116.9
3104,2018,cocaine,DE012,DE,Erfurt,42.92,40.39,46.67,61.61,59.08,43.48,28.18,37.16,52.71,46.05
3105,2018,cocaine,DE026,DE,Munich G,163.36,158.87,183.11,264.2,248.44,155.03,136.42,152.88,212.7,187.06
3106,2018,cocaine,DE030,DE,Saarbrücken (2),165.12,170.09,196.59,215.15,231.15,177.18,133.17,156.12,205.02,184.06
3171,2018,methamphetamine,DE008,DE,Chemnitz,187.8,175.23,266.09,191.7,231.83,156.49,164.28,175.77,211.53,196.2
3172,2018,methamphetamine,DE009,DE,Dortmund,5.87,3.02,2.3,1.87,3.68,1.7,2.22,3.7,2.39,2.95
3174,2018,methamphetamine,DE011,DE,Dülmen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3175,2018,methamphetamine,DE012,DE,Erfurt,237.69,188.67,208.84,241.0,211.05,202.23,189.38,205.25,215.78,211.26
3176,2018,methamphetamine,DE026,DE,Munich G,4.45,5.02,5.33,8.24,6.08,4.54,4.29,4.59,6.05,5.42
3177,2018,methamphetamine,DE030,DE,Saarbrücken (2),2.64,1.87,2.98,2.42,1.61,2.04,1.99,2.16,2.26,2.22
3247,2017,MDMA,DE008,DE,Chemnitz,3.54,7.44,5.03,14.56,19.84,12.27,5.06,5.35,12.92,9.68
3248,2017,MDMA,DE009,DE,Dortmund,9.45,10.91,19.25,21.93,31.65,24.09,12.68,11.01,24.23,18.56
3250,2017,MDMA,DE011,DE,Dülmen,2.64,7.08,24.62,22.71,10.1,5.9,2.27,4.0,15.83,10.76
3251,2017,MDMA,DE012,DE,Erfurt,3.69,3.62,4.72,11.88,14.6,9.12,5.67,4.32,10.08,7.61
3253,2017,MDMA,DE018,DE,Hamburg N,9.85,9.02,9.68,21.61,29.84,24.94,15.45,11.44,21.52,17.2
3257,2017,MDMA,DE026,DE,Munich G,7.29,7.06,8.25,34.55,57.27,28.35,14.47,9.6,32.1,22.46
3258,2017,MDMA,DE028,DE,Nuremberg,4.91,3.29,6.58,20.61,31.93,19.68,8.6,5.6,19.7,13.66
3260,2017,MDMA,DE030,DE,Saarbrücken (2),15.05,33.53,24.15,20.9,33.54,30.22,17.78,22.12,27.2,25.02
3261,2017,MDMA,DE033,DE,Stuttgart,9.13,8.82,41.49,32.49,,32.55,14.52,10.83,35.51,23.17
